0	0	0	0	0	0
256	0	0	212	8	4
512	0	0	425	16	7
768	0	0	635	24	11
1024	0	0	843	32	15
1280	0	0	1050	40	19
1536	0	0	1255	48	22
1792	0	0	1466	56	26
2048	0	0	1673	64	29
2303	0	0	1881	71	33
2559	0	0	2096	79	37
2815	0	0	2327	87	41
3071	0	0	2523	94	44
3327	0	0	2728	101	48
3583	0	0	2935	109	51
3839	0	0	3145	117	55
4095	0	0	3354	123	58
0	256	0	44	232	15
256	256	0	255	238	19
512	256	0	469	246	22
768	256	0	678	253	26
1024	256	0	886	261	30
1280	256	0	1092	269	34
1536	256	0	1300	276	37
1792	256	0	1510	283	41
2048	256	0	1717	290	44
2303	256	0	1924	298	48
2559	256	0	2146	304	52
2815	256	0	2368	312	56
3071	256	0	2566	319	59
3327	256	0	2772	327	62
3583	256	0	2981	333	66
3839	256	0	3190	341	69
4095	256	0	3399	348	74
0	512	0	89	460	30
256	512	0	301	466	34
512	512	0	515	473	38
768	512	0	723	481	41
1024	512	0	930	488	45
1280	512	0	1137	495	49
1536	512	0	1345	503	52
1792	512	0	1555	510	55
2048	512	0	1762	517	60
2303	512	0	1969	525	63
2559	512	0	2195	533	67
2815	512	0	2411	539	70
3071	512	0	2610	547	74
3327	512	0	2818	555	77
3583	512	0	3025	562	81
3839	512	0	3236	569	85
4095	512	0	3442	577	89
0	768	0	133	690	45
256	768	0	346	697	49
512	768	0	558	704	53
768	768	0	765	712	56
1024	768	0	974	719	60
1280	768	0	1180	725	63
1536	768	0	1389	733	67
1792	768	0	1598	740	71
2048	768	0	1808	748	75
2303	768	0	2013	755	78
2559	768	0	2245	762	82
2815	768	0	2452	771	85
3071	768	0	2655	778	89
3327	768	0	2862	785	92
3583	768	0	3070	793	96
3839	768	0	3280	800	100
4095	768	0	3486	807	104
0	1024	0	178	920	61
256	1024	0	390	927	64
512	1024	0	602	935	68
768	1024	0	809	942	71
1024	1024	0	1017	949	75
1280	1024	0	1224	956	78
1536	1024	0	1433	963	83
1792	1024	0	1643	971	86
2048	1024	0	1851	978	89
2303	1024	0	2062	985	93
2559	1024	0	2294	991	96
2815	1024	0	2494	999	100
3071	1024	0	2697	1006	103
3327	1024	0	2906	1013	108
3583	1024	0	3114	1020	111
3839	1024	0	3324	1027	115
4095	1024	0	3529	1035	118
0	1280	0	222	1145	76
256	1280	0	436	1152	79
512	1280	0	645	1159	83
768	1280	0	854	1166	86
1024	1280	0	1061	1173	89
1280	1280	0	1267	1181	94
1536	1280	0	1478	1189	97
1792	1280	0	1686	1195	101
2048	1280	0	1895	1203	104
2303	1280	0	2111	1211	107
2559	1280	0	2339	1219	111
2815	1280	0	2535	1225	114
3071	1280	0	2742	1233	119
3327	1280	0	2949	1240	122
3583	1280	0	3159	1247	126
3839	1280	0	3368	1255	130
4095	1280	0	3573	1263	132
0	1536	0	267	1378	91
256	1536	0	479	1385	94
512	1536	0	688	1392	97
768	1536	0	896	1400	101
1024	1536	0	1104	1408	105
1280	1536	0	1311	1415	109
1536	1536	0	1521	1421	112
1792	1536	0	1730	1429	115
2048	1536	0	1938	1436	119
2303	1536	0	2160	1444	122
