0	0	0	0	0	0
256	0	0	256	0	0
512	0	0	513	0	0
768	0	0	765	0	0
1024	0	0	1015	0	0
1280	0	0	1263	0	0
1536	0	0	1516	0	0
1792	0	0	1768	0	0
2048	0	0	2019	0	0
2303	0	0	2299	0	0
2559	0	0	2537	0	0
2815	0	0	2785	0	0
3071	0	0	3036	0	0
3327	0	0	3291	0	0
3583	0	0	3538	0	0
3839	0	0	3789	0	0
4095	0	0	4029	1	0
0	256	0	0	240	0
256	256	0	255	238	0
512	256	0	512	237	0
768	256	0	763	236	0
1024	256	0	1013	235	0
1280	256	0	1261	234	0
1536	256	0	1516	234	0
1792	256	0	1766	232	0
2048	256	0	2017	231	0
2303	256	0	2299	230	0
2559	256	0	2536	229	0
2815	256	0	2786	228	0
3071	256	0	3036	227	0
3327	256	0	3291	226	0
3583	256	0	3538	225	0
3839	256	0	3788	225	0
4095	256	0	4030	223	0
0	512	0	0	475	0
256	512	0	255	473	0
512	512	0	513	471	0
768	512	0	764	470	0
1024	512	0	1013	469	0
1280	512	0	1263	468	0
1536	512	0	1516	467	0
1792	512	0	1767	466	0
2048	512	0	2017	465	0
2303	512	0	2299	464	0
2559	512	0	2537	464	0
2815	512	0	2786	463	0
3071	512	0	3038	461	0
3327	512	0	3292	460	0
3583	512	0	3539	459	0
3839	512	0	3789	458	0
4095	512	0	4031	457	0
0	768	0	0	713	0
256	768	0	255	711	0
512	768	0	512	710	0
768	768	0	763	709	0
1024	768	0	1013	708	0
1280	768	0	1262	706	0
1536	768	0	1516	705	0
1792	768	0	1767	703	0
2048	768	0	2018	703	0
2303	768	0	2298	702	0
2559	768	0	2537	701	0
2815	768	0	2787	700	0
3071	768	0	3037	699	0
3327	768	0	3293	698	0
3583	768	0	3538	698	0
3839	768	0	3790	695	0
4095	768	0	4031	694	1
0	1024	0	0	950	0
256	1024	0	254	947	0
512	1024	0	512	947	0
768	1024	0	762	946	0
1024	1024	0	1013	944	0
1280	1024	0	1262	943	0
1536	1024	0	1516	943	0
1792	1024	0	1768	942	0
2048	1024	0	2018	940	0
2303	1024	0	2299	938	0
2559	1024	0	2537	938	0
2815	1024	0	2786	937	0
3071	1024	0	3037	936	0
3327	1024	0	3292	934	0
3583	1024	0	3539	934	1
3839	1024	0	3790	933	1
4095	1024	0	4031	932	1
0	1280	0	0	1182	0
256	1280	0	255	1180	0
512	1280	0	511	1179	0
768	1280	0	763	1177	0
1024	1280	0	1013	1176	0
1280	1280	0	1262	1175	0
1536	1280	0	1515	1174	0
1792	1280	0	1767	1173	0
2048	1280	0	2019	1172	0
2303	1280	0	2298	1171	0
2559	1280	0	2537	1170	0
2815	1280	0	2786	1169	0
3071	1280	0	3037	1168	0
3327	1280	0	3292	1167	1
3583	1280	0	3539	1166	1
3839	1280	0	3790	1165	1
4095	1280	0	4031	1164	1
0	1536	0	0	1422	0
256	1536	0	254	1420	0
512	1536	0	510	1419	0
768	1536	0	761	1418	0
1024	1536	0	1012	1417	0
1280	1536	0	1261	1416	0
1536	1536	0	1515	1414	0
1792	1536	0	1766	1413	0
2048	1536	0	2018	1412	0
2303	1536	0	2299	1411	0
2559	1536	0	2536	1410	0
2815	1536	0	2786	1409	0
3071	1536	0	3036	1408	1
3327	1536	0	3292	1407	1
3583	1536	0	3538	1406	1
3839	1536	0	3789	1404	1
4095	1536	0	4032	1403	2
0	1792	0	0	1664	0
256	1792	0	252	1662	0
512	1792	0	510	1661	0
768	1792	0	760	1660	0
1024	1792	0	1011	1659	0
1280	1792	0	1261	1658	0
1536	1792	0	1514	1657	0
1792	1792	0	1766	1657	0
2048	1792	0	2016	1656	0
2303	1792	0	2298	1654	0
2559	1792	0	2536	1653	0
2815	1792	0	2785	1652	1
3071	1792	0	3036	1650	1
3327	1792	0	3291	1649	1
3583	1792	0	3538	1649	2
3839	1792	0	3789	1647	2
4095	1792	0	4031	1647	2
0	2048	0	0	1903	0
256	2048	0	252	1900	0
512	2048	0	508	1898	0
768	2048	0	760	1897	0
1024	2048	0	1010	1896	0
1280	2048	0	1260	1895	0
1536	2048	0	1514	1895	0
1792	2048	0	1765	1893	0
2048	2048	0	2017	1893	0
2303	2048	0	2297	1892	1
2559	2048	0	2535	1890	1
2815	2048	0	2784	1889	1
3071	2048	0	3035	1887	1
3327	2048	0	3291	1886	2
3583	2048	0	3537	1885	2
3839	2048	0	3789	1885	2
4095	2048	0	4029	1884	3
0	2303	0	1	2150	0
256	2303	0	251	2147	0
512	2303	0	509	2145	0
768	2303	0	760	2145	0
1024	2303	0	1011	2144	0
1280	2303	0	1260	2143	0
1536	2303	0	1514	2142	0
1792	2303	0	1766	2140	0
2048	2303	0	2017	2139	1
2303	2303	0	2297	2138	1
2559	2303	0	2535	2136	1
2815	2303	0	2785	2135	2
3071	2303	0	3035	2134	2
3327	2303	0	3291	2132	2
3583	2303	0	3538	2132	2
3839	2303	0	3788	2131	3
4095	2303	0	4030	2129	3
0	2559	0	1	2399	0
256	2559	0	251	2395	0
512	2559	0	508	2394	0
768	2559	0	761	2395	0
1024	2559	0	1010	2393	0
1280	2559	0	1260	2392	0
1536	2559	0	1514	2391	0
1792	2559	0	1766	2391	1
2048	2559	0	2016	2390	1
2303	2559	0	2297	2388	1
2559	2559	0	2536	2386	1
2815	2559	0	2786	2386	2
3071	2559	0	3037	2384	2
3327	2559	0	3291	2383	2
3583	2559	0	3538	2381	2
3839	2559	0	3789	2381	3
4095	2559	0	4031	2379	3
0	2815	0	0	2631	0
256	2815	0	250	2629	0
512	2815	0	506	2627	0
768	2815	0	759	2626	0
1024	2815	0	1010	2625	0
1280	2815	0	1259	2624	0
1536	2815	0	1513	2623	0
1792	2815	0	1765	2622	1
2048	2815	0	2015	2621	1
2303	2815	0	2296	2620	1
2559	2815	0	2536	2619	2
2815	2815	0	2786	2618	2
3071	2815	0	3036	2616	2
3327	2815	0	3291	2614	3
3583	2815	0	3537	2613	3
3839	2815	0	3788	2611	3
4095	2815	0	4030	2610	4
0	3071	0	0	2868	0
256	3071	0	249	2866	0
512	3071	0	506	2864	0
768	3071	0	758	2863	0
1024	3071	0	1009	2863	0
1280	3071	0	1259	2862	1
1536	3071	0	1512	2861	1
1792	3071	0	1765	2859	1
2048	3071	0	2015	2858	1
2303	3071	0	2296	2857	2
2559	3071	0	2535	2856	2
2815	3071	0	2784	2855	2
3071	3071	0	3036	2853	3
3327	3071	0	3290	2852	3
3583	3071	0	3538	2851	4
3839	3071	0	3787	2850	4
4095	3071	0	4029	2847	4
0	3327	0	0	3107	0
256	3327	0	249	3103	0
512	3327	0	506	3101	0
768	3327	0	758	3100	1
1024	3327	0	1008	3100	1
1280	3327	0	1258	3099	1
1536	3327	0	1513	3098	1
1792	3327	0	1763	3097	2
2048	3327	0	2014	3095	2
2303	3327	0	2295	3094	2
2559	3327	0	2535	3093	3
2815	3327	0	2784	3092	3
3071	3327	0	3035	3090	3
3327	3327	0	3290	3089	4
3583	3327	0	3537	3088	4
3839	3327	0	3788	3087	4
4095	3327	0	4028	3085	4
0	3583	0	1	3340	0
256	3583	0	249	3337	0
512	3583	0	507	3336	0
768	3583	0	758	3335	1
1024	3583	0	1009	3333	1
1280	3583	0	1258	3332	2
1536	3583	0	1512	3331	2
1792	3583	0	1763	3330	2
2048	3583	0	2013	3329	2
2303	3583	0	2295	3328	3
2559	3583	0	2534	3327	3
2815	3583	0	2784	3327	4
3071	3583	0	3034	3326	4
3327	3583	0	3289	3322	4
3583	3583	0	3537	3322	4
3839	3583	0	3788	3320	5
4095	3583	0	4029	3317	4
0	3839	0	0	3583	0
256	3839	0	247	3580	1
512	3839	0	505	3579	1
768	3839	0	757	3578	1
1024	3839	0	1007	3577	1
1280	3839	0	1257	3576	2
1536	3839	0	1511	3574	2
1792	3839	0	1763	3573	2
2048	3839	0	2014	3572	2
2303	3839	0	2295	3570	2
2559	3839	0	2534	3569	3
2815	3839	0	2783	3568	3
3071	3839	0	3034	3566	4
3327	3839	0	3288	3565	4
3583	3839	0	3536	3563	4
3839	3839	0	3786	3562	4
4095	3839	0	4028	3558	5
0	4095	0	0	3822	0
256	4095	0	240	3817	0
512	4095	0	502	3816	1
768	4095	0	755	3815	1
1024	4095	0	1006	3813	1
1280	4095	0	1255	3812	1
1536	4095	0	1510	3811	2
1792	4095	0	1762	3810	2
2048	4095	0	2013	3809	3
2303	4095	0	2293	3808	2
2559	4095	0	2534	3806	3
2815	4095	0	2782	3805	3
3071	4095	0	3033	3803	4
3327	4095	0	3289	3802	4
3583	4095	0	3536	3800	4
3839	4095	0	3786	3798	5
4095	4095	0	4027	3796	5
0	0	256	3	4	228
256	0	256	259	3	228
512	0	256	519	2	228
768	0	256	770	1	228
1024	0	256	1022	0	228
1280	0	256	1271	0	228
1536	0	256	1525	0	227
1792	0	256	1776	0	228
2048	0	256	2026	0	227
